/* favoritesテーブル */
INSERT IGNORE INTO favorites (id, restaurant_id, user_id) VALUES
(1, 5, 2),
(2, 10, 2),
(3, 15, 2),
(4, 20, 2),
(5, 25, 2),
(6, 30, 2),
(7, 35, 2),
(8, 40, 2),
(9, 44, 2),
(10, 50, 2),
(11, 55, 2),
(12, 60, 2),
(13, 65, 2),
(14, 70, 2),
(15, 75, 2),
(16, 80, 2),
(17, 84, 2),
(18, 90, 2),
(19, 95, 2),
(20, 100, 2),
(21, 5, 1),
(22, 10, 1),
(23, 15, 1),
(24, 20, 1),
(25, 25, 1),
(26, 30, 1),
(27, 35, 1),
(28, 40, 1),
(29, 44, 1),
(30, 50, 1),
(31, 55, 1),
(32, 60, 1),
(33, 65, 1),
(34, 70, 1),
(35, 75, 1),
(36, 80, 1),
(37, 84, 1),
(38, 90, 1),
(39, 95, 1),
(40, 100, 1),
(41,100,9),
(42,25,10),
(43,38,10),
(44,52,10),
(45,78,11),
(46,24,11),
(47,95,11),
(48,39,11),
(49,14,11),
(50,5,11),
(51,53,12),
(52,21,12),
(53,79,12),
(54,10,13),
(55,35,13),
(56,94,13),
(57,4,13),
(58,40,13),
(59,29,13),
(60,27,13),
(61,16,13),
(62,99,13),
(63,76,14),
(64,60,14),
(65,24,14),
(66,30,14),
(67,96,14),
(68,18,16),
(69,9,16),
(70,52,17),
(71,73,17),
(72,44,17),
(73,93,17),
(74,62,17),
(75,11,17),
(76,100,17),
(77,57,17),
(78,76,17),
(79,39,18),
(80,14,18),
(81,98,18),
(82,83,19),
(83,22,19),
(84,97,20),
(85,18,21),
(86,69,21),
(87,67,21),
(88,70,21),
(89,13,22),
(90,60,22),
(91,98,22),
(92,4,22),
(93,63,22),
(94,26,22),
(95,63,23),
(96,31,23),
(97,4,23),
(98,51,23),
(99,85,23),
(100,98,23),
(101,58,23),
(102,88,23),
(103,56,24),
(104,82,24),
(105,65,24),
(106,50,25),
(107,6,25),
(108,5,25),
(109,30,25),
(110,15,27),
(111,54,27),
(112,92,27),
(113,62,28),
(114,42,28),
(115,84,28),
(116,86,28),
(117,13,28),
(118,43,28),
(119,26,30),
(120,3,30),
(121,76,30),
(122,17,30),
(123,80,30),
(124,20,31),
(125,37,31),
(126,34,31),
(127,43,31),
(128,29,31),
(129,36,31),
(130,51,31),
(131,22,32),
(132,80,32),
(133,74,32),
(134,85,32),
(135,24,32),
(136,32,33),
(137,83,33),
(138,19,33),
(139,85,33),
(140,99,34),
(141,5,35),
(142,97,35),
(143,93,35),
(144,56,36),
(145,86,36),
(146,33,37),
(147,49,37),
(148,7,37),
(149,100,37),
(150,29,37),
(151,30,38),
(152,64,38),
(153,29,38),
(154,9,38),
(155,12,38),
(156,66,39),
(157,37,39),
(158,54,39),
(159,50,39),
(160,83,39),
(161,84,40),
(162,48,40),
(163,66,41),
(164,45,42),
(165,39,42),
(166,53,42),
(167,50,42),
(168,98,43),
(169,53,43),
(170,59,43),
(171,47,43),
(172,67,43),
(173,8,43),
(174,45,43),
(175,15,43),
(176,2,43),
(177,86,43),
(178,40,44),
(179,29,44),
(180,23,44),
(181,58,44),
(182,80,44),
(183,2,44),
(184,86,45),
(185,5,45),
(186,24,45),
(187,40,45),
(188,55,45),
(189,78,46),
(190,41,46),
(191,39,46),
(192,47,46),
(193,23,46),
(194,31,46),
(195,58,47),
(196,66,47),
(197,63,47),
(198,92,47),
(199,35,47),
(200,89,47),
(201,77,48),
(202,32,48),
(203,85,48),
(204,45,48),
(205,47,48),
(206,55,48),
(207,4,49),
(208,24,49),
(209,11,49),
(210,2,49),
(211,25,49),
(212,45,49),
(213,56,49),
(214,3,49),
(215,51,49),
(216,74,49),
(217,81,50),
(218,74,50),
(219,99,50),
(220,22,52),
(221,100,52),
(222,7,53),
(223,83,53),
(224,52,53),
(225,5,53),
(226,55,53),
(227,21,53),
(228,21,54),
(229,13,54),
(230,39,54),
(231,70,54),
(232,89,54),
(233,17,54),
(234,36,54),
(235,16,55),
(236,38,55),
(237,97,55),
(238,83,55),
(239,22,55),
(240,28,55),
(241,89,55),
(242,91,56),
(243,70,56),
(244,3,56),
(245,26,56),
(246,65,57),
(247,79,57),
(248,18,59),
(249,77,59),
(250,1,59),
(251,97,59),
(252,57,60),
(253,71,60),
(254,32,60),
(255,53,60),
(256,34,60),
(257,66,60),
(258,72,60),
(259,41,60),
(260,70,60),
(261,41,63),
(262,85,63),
(263,74,63),
(264,42,63),
(265,77,63),
(266,8,63),
(267,26,63),
(268,73,63),
(269,47,64),
(270,43,64),
(271,36,64),
(272,13,64),
(273,30,64),
(274,65,64),
(275,69,64),
(276,40,64),
(277,84,64),
(278,33,64),
(279,69,65),
(280,70,65),
(281,94,65),
(282,93,65),
(283,3,66),
(284,50,66),
(285,89,66),
(286,79,67),
(287,15,68),
(288,56,68),
(289,38,68),
(290,3,68),
(291,51,68),
(292,19,68),
(293,14,68),
(294,37,68),
(295,72,68),
(296,95,69),
(297,46,69),
(298,74,69),
(299,34,69),
(300,48,69),
(301,65,69),
(302,34,70),
(303,54,70),
(304,32,70),
(305,81,70),
(306,67,70),
(307,95,70),
(308,45,70),
(309,57,71),
(310,96,71),
(311,38,71),
(312,33,71),
(313,23,71),
(314,89,71),
(315,29,72),
(316,8,72),
(317,42,72),
(318,26,72),
(319,61,72),
(320,25,72),
(321,31,72),
(322,78,73),
(323,75,73),
(324,52,73),
(325,54,73),
(326,87,73),
(327,84,73),
(328,97,73),
(329,24,73),
(330,65,74),
(331,61,74),
(332,97,74),
(333,51,75),
(334,14,76),
(335,48,79),
(336,92,79),
(337,55,79),
(338,78,79),
(339,6,79),
(340,65,79),
(341,94,80),
(342,90,80),
(343,66,80),
(344,14,80),
(345,25,80),
(346,22,80),
(347,59,81),
(348,86,82),
(349,89,82),
(350,92,82),
(351,85,82),
(352,99,83),
(353,58,83),
(354,16,85),
(355,46,85),
(356,85,85),
(357,15,85),
(358,89,86),
(359,92,86),
(360,38,87),
(361,78,87),
(362,100,87),
(363,89,87),
(364,84,87),
(365,21,87),
(366,44,87),
(367,13,87),
(368,33,88),
(369,21,88),
(370,58,88),
(371,59,88),
(372,41,88),
(373,91,88),
(374,94,88),
(375,23,88),
(376,85,88),
(377,67,89),
(378,52,89),
(379,63,89),
(380,86,89),
(381,65,89),
(382,26,89),
(383,3,89),
(384,77,90),
(385,53,90),
(386,17,90),
(387,8,90),
(388,62,91),
(389,2,91),
(390,25,91),
(391,11,92),
(392,8,92),
(393,69,92),
(394,20,92),
(395,89,92),
(396,41,92),
(397,59,92),
(398,19,92),
(399,88,92),
(400,25,92),
(401,33,94),
(402,50,94),
(403,71,94),
(404,58,94),
(405,90,94),
(406,78,94),
(407,59,95),
(408,26,95),
(409,97,95),
(410,91,96),
(411,1,96),
(412,36,96),
(413,77,96),
(414,88,96),
(415,24,96),
(416,42,96),
(417,21,96),
(418,63,96),
(419,84,96),
(420,96,97),
(421,12,97),
(422,98,97),
(423,81,98),
(424,63,98),
(425,62,98),
(426,3,98),
(427,44,98),
(428,17,98),
(429,29,99),
(430,84,99),
(431,64,99),
(432,83,99),
(433,76,100),
(434,99,100),
(435,71,4),
(436,39,4),
(437,94,4),
(438,8,4),
(439,79,4),
(440,12,4),
(441,44,5),
(442,56,5),
(443,78,5),
(444,71,5),
(445,26,5),
(446,10,5),
(447,47,5),
(448,22,5),
(449,28,5),
(450,60,6);
